label,text,is_valid
positive,"This movie is the first of Miikes triad society trilogy, and the trilogy kicks of to a great start. The movies in the trilogy are only connected thematically, and these themes are actually apparent in all his films, if you look close enough. Shinjuku Triad Society is about a cop trying to prevent his kid brother from getting too involved with a rather extreme gang of outsiders, struggling their way to the top of Tokyos yakuza. The kid brother is a lawyer, and the triad gang is becoming increasingly in need of one, as the movie progresses. The movie takes place in a very harsh environment, and is therefore pretty violent and tough. Miike has done worse, but since this is a serious movie it hits you very hard. As usual there is also a lot of perverted sex, mostly homosexual in this one. The movie is in many ways a typical gangster movie, but with a great drive and true grittiness. If you've only seen Miikes far-out movies (Ichi the killer, Fudoh etc.) this is worth checking out since it is sort of a compromise between his aggressive over-the-top style displayed in those movies and his more serious side, as seen in the other films of the trilogy. And as always with Miike, there are at least two scenes in this that you'll NEVER forget (see it and figure out which ones for yourself).<br /><br />8/10",False
positive,"I have screened this movie several times here at college, and every time I show it, the number of people watching with me grows exponentially... in addition to the virgins, anyone I've already shown it to NEEDS to see it again! It takes a little while to get into it, but by the end the whole room is screaming, shouting, yelling, rewinding scenes repeatedly, repeating dialogue, and just totally and completely engrossed in the moviegoing experience that is Pia Zadora in ""The Lonely Lady""! Scene after scene after scene of the most ineptly filmed, poorly written, horribly acted TRASH is thrown at you in an all-out assault that ranks as the campiest thing I own (no small statement, friends). For me nothing compares 2 U, Pia... and I don't suppose I'm the only one who's ever felt this way!",False
positive,"An unusual film from Ringo Lam and one that's strangely under-appreciated. The mix of fantasy kung-fu with a more realistic depiction of swords and spears being driven thru bodies is startling especially during the first ten minutes. A horseback rider get chopped in two and his waist and legs keep riding the horse. Several horses get chopped up. It's very unexpected.<br /><br />The story is very simple, Fong and his Shaolin brothers are captured by a crazed maniac general and imprisoned in the Red Lotus temple which seems to be more of a torture chamber then a temple. The General has a similarity to Kurtz in Apocalypse Now as he spouts warped philosophy and makes frightening paintings with human blood. <br /><br />The production is very impressive and the setting is bleak. Blood is everywhere. The action is very well done and mostly coherent unlike many HK action scenes from the time. Sometimes the movie veers into absurdity or the effects are cheesy but it's never bad enough to ruin the film. <br /><br />Find this one, it's one of the best HK kung fu films from the early nineties. Just remember it's not child friendly.",False
positive,"This is a wonderfully written and well acted psychological drama. It is not really a horror flick so those looking for something like The Ring or The Grudge will be disappointed. What really surprised me about this film was the intelligence and subtle attention to detail in the plot and the effort made to be internally consistent. I also appreciated the absence of Dr. Phil psychobabble or New Age revisionism. Rather than advancing an agenda, the filmmakers just told the story, told it well and let the viewer think about it. The sparse dreamscapes were reminiscent of Wyeth paintings and amazingly effective. <br /><br />A great example of how to make a good film on a small budget, without big studios, star actors, big-name directors (this was far better than many of Hitchcock's films), special effects or ""clever"" plot twists.",False
positive,"If you find yourself in need of an escape, something that will hold your attention for two hours and allow you to be lost in another world, Domino will satisfy that need. This is entertainment, after all! The plot keeps your brain in motion - one of those movies (like Usual Suspects) where you want to see it a second time to figure it all out. I wondered about Domino Harvey herself, how her life became of interest to Hollywood. As for the acting, lots of celebrity appearances not shown in the trailers. And any actor that makes me forget who they are has done their job well. Not once did I think of Kiera in a soccer uniform or pirate costume. And granted, Mickey Rourke plays Mickey Rourke well and often, but here, despite the violence, he shows signs of being capable of caring for other people.",False
negative,"As if the storyline wasn't depressing enough, this movie shows cows being butchered graphically in a slaughterhouse for all of five minutes while the protagonist is narrating her early life as a butcher. Weird stuff. Then there's the core premise of the hero/heroine who goes and cuts his dick off because a he's besot-ten with at work says he would have gone with him if he was a girl. Is this person a psycho, a masochist, just a doomed queen who takes things too far? And what sort of traumatic childhood did he have? Just that he didn't get adopted and had to live it out with nuns who at first loved him and then later hated him because he was unruly. He tries to explain to us the reasons he did what he did, but it's really really so hard to empathize. Such sad and unusual self destruction. Was it supposed to be funny? What was it all about really?",False
negative,"(aka: BLOOD CASTLE or SCREAM OF THE DEMON)<br /><br />*spoiler*<br /><br />This was a drive-in feature, co-billed with THE VELVET VAMPIRE. A Spanish-Italian co-production where a series of women in a village are being murdered around the same time a local count named Yanos Dalmar is seen on horseback, riding off with his 'man-eating' dog behind him.<br /><br />The townsfolk already suspect he is the one behind it all and want his castle burned down. The murders first began around the time Count Yanos' older brother, Count Igor Dalmar was horribly burned and killed in a lab accident.<br /><br />Then a woman Ivanna (Erna Schuer) that Igor hired before his death to assist him in his experiments shows up. Yanos agrees to hire her in place of his brother and together they seek the formulae for the regeneration of dead cells. Yanos wants to bring Igor's charred corpse back to life.<br /><br />But of course Igor is still alive (although horribly burned) and stalking and killing the women in the village. We see his char-broiled face appear at various points in the film, so we know he's still alive, making the whole thing seem a little bit too obvious.<br /><br />Igor meets another fiery end when he gets into a fight with Yanos over Ivanna, with the burning candles falling on to the same bed that Igor stumbles on to, meeting yet another, final char-broiled end.<br /><br />The Retromedia DVD is taken from a VHS source and looks quite grainy and bad. Other than an even scratchier trailer, no other extras are included. Although it has a nice, creepy Spanish castle and good atmospherics, I found it to be fairly boring and predictable, with no excitement or mystery, whatsoever. <br /><br />3 out of 10.",False
negative,"I have always liked Spike Lee's movies, but this one was a total waste of 2 1/2 hours. I expected more about Son of Sam and instead got a movie that seemed to have very little to do with the 1977 serial killings. The talking dog was laughable (you know you're in trouble when all the movie patrons burst into laughter inappropriately). The whole movie seemed very disjointed and not very interesting. The sex scenes were totally irrelevent to the plot. I'm not opposed to sex in movies, but it should have some point (unless it's a XXX movie). All in all, we were very disappointed at this Spike Lee effort!!",False
positive,A really great movie and true story. Dan Jansen the Greatest skater ever. A touching and beautiful movie the whole family can enjoy. The story of Jane Jansens battle with cancer and Dan Jansen love for his sister. Of a important promise made by Jansen to win a gold medal to prove his sister Jane was right to believe in his talent in speed skating was justified. This picture is well worth the time. I wish they would make more films of this quality. Thank you for a great film with excellent actors and an excellent story. It is a very touching story about a beautiful family support and faith for their children and a special dream for their youngest son and his sister.,False
positive,"Father and son communicate very little. IN fact they speak different languages. BUt when the son drives his father 3000 miles for his pilgrimage's to Mecca, the conversations finally take place. they are difficult and growth is necessary on both parts.<br /><br />This movie takes us into the hearts of these two travelers, and it is indeed a grand voyage for the audience as well as the two principals. The imagery throughout is impressive, especially the final scenes in Mecca. It underlines for me once again how much different the world can be, but also at the same time, how similar. The same was true for the father and son in this film.<br /><br />See this movie. Tell your friends to see it. You'll be glad you did.",False
positive,"I first encountered this show when I was staying in Japan for six months last year. I found it in the internet when I was looking for sub-titled dramas to help me with my Japanese. My host mother warned me to stay away from it because she thought it was weird, but I found it delightful! Koyuki showed such conflicting character traits and Matsujun's spirit made my day every time I tuned in! I first saw him on ""Hana Yori Dango"", but I liked him much better in this!<br /><br />Although the characters are interesting and well-developed, I was disappointed to find that they didn't change very much throughout the show. Their relationship grew, but they didn't really. Still, a fun time had by all (Even for Fukushima!).",False
negative,"This movie was a stupid piece of crap. Bad everything. Why is it that we who love western movies get jilted nine out of ten times when renting westerns. It seems that if you don't see names like Robert Duval, Kevin Kostner, or Tom Selleck attached to the cover, it isn't worth messing with. For the most part the main action of Shiloh Falls was taking place in 1892, yet the revolvers used were 1860s models. Even the shooting was bad - in one scene the Marshal fanned his six-shooter about nine times and couldn't hit any of three large men who were only about twenty feet away. I had to turn it off after about 15 minutes of this inanity. Perhaps those who participated in this movie could have taken some lessons at the Sunset Carson School of Acting.",False
negative,"Have you ever sat watching a movie when 20 or 30 minutes have gone by and suddenly you realize that you have actually seen the movie before? That happened to me with ""The Young Graduates"". The cover of the video box, if you can find the video, is extremely deceiving. I'd swear that the two women on the cover aren't even in the film.<br /><br />Anyway, I was either born a decade too late to appreciate the finer points of this film or...it is simply pointless junk. I'm heavily leaning toward the latter but I guess some out there have developed a connection to this movie.<br /><br />Hmm...plot. A plot. Let's see...there must be a plot around here somewhere. Nope, I can't find it. It's pretty much about some high school seniors acting dopey and doing drugs and speaking in a language that became outdated decades ago. One of the female students has a crush on her teacher. The teacher has a frigid wife (whom he indeed refers to as an iceberg) so he is receptive to the girl's advances.<br /><br />There's a lot of driving around and inane dialogue and plenty of spastic dancing. Our cat, BooBoo, was transfixed by the dancing high school kids. She watched with amazing intensity as the dancers gyrated and shook out on the dance floor. It's nice to see that at least one species has found something interesting in this relic. 1/10",False
negative,"There are two points I need to make clear right at the beginning. First of all we all know what this year's Oscar's were REALLY all about this year. It was the Academy's way of showing people that they are no racist,and never have been. They wanted to clear all preconceived notions about themselves. Secondly, it's kinda pointless to make remarks about the show, because really, what difference will it make? But, it's fun to write about it. This is the year I became fed-up with the Oscar's! I will never watch the show again. Every year they do something wrong. Before Crowe wins for ""Gladaitor"" when they real winner should of been Ralph Fiennes for ""Sunshine"". If you haven't seen this movie yet, watch it and you'll agree. ""Eyes Wide Shut"" when released receieved no nominations. And as far as this year goes, well, the bad choices were all over the place! Baz Lurhmann gets no ""Best Director"" nomination! Are you joking!! ""A Beautiful Mind"" is up for ""Best Make-up""???? ""Training Day"" gets nominated?? The movie was awful, and it seemed like Washington didn't even turn in a performance, all he proved was, he knows how to use four letter words! That's what h won the award for! Take away the language and I bet he was almost playing himself! I liked ""Gosford Park"", I really did, but why 7 nominations? And how on Earth could they not give it too Altman! I mean, c'mon, if there just giving the award to people to clear up any bad feelings, what about Altman? The man has been in the public's eye for 32 years now and no Oscar! There were many, many things that bothered me about this year's Oscar's, but, I'll live with it, as long as I never have to watch another show again! The highpoint ( and the ONLY one) of the show was when Woody Allen made his first appearance ever to the award show. That will go down as one of the greatest moments in he history of the show.",False
negative,"I am not so much like Love Sick as I image. Finally the film express sexual relationship of Alex, kik, Sandu their triangle love were full of intenseness, frustration and jealous, at last, Alex waked up and realized that they would not have result and future.Ending up was sad.<br /><br />The director Tudor Giurgiu was in AMC theatre on Sunday 12:00PM on 08/10/06, with us watched the movie together. After the movie he told the audiences that the purposed to create this film which was to express the sexual relationships of Romanian were kind of complicate.<br /><br />On my point of view sexual life is always complicated in everywhere, I don't feel any particular impression and effect from the movie. The love proceeding of Alex and Kiki, and Kiki and her brother Sandu were kind of next door neighborhood story.<br /><br />The two main reasons I don't like this movie are, firstly, the film didn't told us how they started to fall in love? Sounds like after Alex moved into the building which Kiki was living, then two girls are fall in love. It doesn't make sense at all. How a girl would fall in love with another girl instead of a man. Too much fragments, you need to image and connect those stories by your mind. Secondly, The whole film didn't have a scene of Alex and Kik's sexual intercourse, that 's what I was waiting for. However, it still had some parts were deserved to recommend. The ""ear piercing "" part was kind of interesting. Alex was willing to suffer the pain of ear piercing to appreciate kik's love. That was a touching scene which gave you a little idea of their love. Also, the scene of they were lying in the soccer field, the conversation express their loves were truthful and passionate.",False
positive,"This movie is still an all time favorite. Only a pretentious, humorless moron would not enjoy this wonderful film. This movie feels like a slice of warm apple pie topped with french vanilla ice cream! I think this is Cher's best work ever and her most believable performance. Cher has always been blessed with charisma, good looks, and an enviably thin figure. Whether you like her singing or not - who else sounds like Cher? Cher has definitely made her mark in the entertainment industry and will be remembered long after others have come and gone. She is one of the most unique artists out there. It's funny, because who would have thought of Cher as such a naturally gifted actress? She is heads above the so-called movie ""stars"" of today. Cher is a real actor on the same level as Debra Winger, Alfre Woodard, Holly Hunter, Angela Bassett and a few others, in that she never seems to be ""acting,"" she really becomes the character convincingly. She has more than earned the respect of her peers and of the movie-going public.<br /><br />Everything about Moonstruck is wonderful - the characters, the scenery, the dialog, the food. I never get tired of watching this movie.<br /><br />Every time single time I watch the scene where they are all sitting around the dinner table at Rose's house, I pause the remote to see exactly what delicious food Rose is serving. I saw the spaghetti, mushrooms (I think), but I can't make out whether they are eating ravioli, ziti? What is that main course? It looks wonderful and its driving me nuts! <br /><br />Everybody in that family was a hardworking individual and they respected and cared about one another. The grandfather wasn't pushed aside and tolerated, he was a vital part of the family and he was listened to and respected for his age and wisdom. He seemed to be a pretty healthy, independent old codger too.<br /><br />Loretta's mom wasn't ""just a housewife,"" she was the glue that held the family together and was a model example of what a wife, mother, and home manager should aspire to be. She was proud of the lifestyle she had chosen but she didn't let it define who she was. High powered businessmen aren't as comfortable in their skin as Rose Casterini was. Notice the saucy way she said ""I didn't have kids until after I was 37. It ain't over 'til its over."" You got the sense that she had been the type of young woman who did exactly as she pleased and got her way without the other person realizing what had happened. She was charming, quick witted, and very smart. What a great mom! <br /><br />I didn't actually like Loretta right away because she seemed like a bit of a know--it-all who wasn't really as adventurous and as in control of herself as she wanted others to think. She could tell others about themselves and where they had gone wrong, but she really didn't apply common sense to her own life. She was going to marry a middle-aged mama's boy simply because she wanted a husband and a sense of identity and purpose to her life. She was more conventional than her own mom. She dressed and wore her hair like a matron at a house of detention and seemed humorless and bored, but underneath you sensed that she was vulnerable and lonely and had a lot of love to give the right man. She would probably end up making an awesome mom too.<br /><br />I could see in the future, a house full of Loretta and Ronnie's loud, screaming happy kids and Rose and Cosmo enjoying every minute of it.",False
positive,"I had heard some not too good things about this movie and had probably seen the low score here at IMDb and that's why I had avoided it. Today they showed Vanilla Sky on TV and as I had nothing better to do... and as it turned out, I would have had a hard time finding anything better to do. Vanilla Sky is a frightening, sad and touching movie, actually one of the best I've seen in a while. I was surprised by how I was affected watching it. It's hard to explain, but during the movie your feelings towards the characters and your perception of what is going on changes and it's quite an emotional journey. Vanilla Sky really touched me in a way that is very rare for a movie, or any media for that matter.<br /><br />I really recommend everyone to watch this movie. Regardless of what you have heard about it.",False
negative,"What do you get when you have bad acting, bad directing, scenes that are excruciatingly long, terrible lighting, painful editing, and awful effects? You get Jessica: A Ghost Story Seems its shot on betacam, which is fine, but the lighting has to compliment this medium. In this case it does not. There are a few CU's where the person's face is entirely in shadow. One scene in particular is the scene at the psychiatrists. It's a joke if you ask me. Some of the scenes were so long that they could have easily been cut in half... but I guess then they wouldn't have a film at feature length. The main character is incredibly flat. He's the LEAD male, so he should have some ""hero"" elements to his character, but he does not. He whines and is scared the entire film. I could go on, but I don't want to waste my time. Although the lighting was terrible, I must say that they did have nice camera movement. Too bad the lighting didn't compliment it. The cover of the DVD is nice, and that's where it ends. Just terrible.",False
negative,"Not one of Keaton's best efforts, this was perhaps a veiled attempt to revenge himself on the family he married into - the Talmadges. A Polish/English language barrier and a series of coincidences leads Buster into a marriage with a large Irish woman, who (along with her father and brothers) treat him shabbily until they think he may be an heir to a fortune. Mistaken identities abound here - gags are set up and but for the main fail to pay off.<br /><br />This Metro short does have at least two real laughs - Buster's cleverly turning around his lack of dinner by using the calendar on the wall and the basic ignorance of his adopted family to literally bring the meat to his plate. The other is a family photo, with the entire group slowly collapsing to the floor as the tripod of the camera loses its stability.<br /><br />The yeast beer overflow could have been the catalyst for a massive series of gags built upon gags, but stops short (for all the buildup) of development.<br /><br />Kino's print is crisp and clear and the score is one for player piano, drums and sound effects. Not one of Buster's best efforts, but worth a few laughs.",False
positive,"I have to be honest, i was expecting a failure so bad, because it really did sound like they were trying to milk the original movie to get money. But that wasn't the case with this pretty funny (sometimes odd) movie. I loved how they told the story of Timon and Pumba, the story with Simba and him having trouble sleeping was funny. The jacuzzi bubble, and when Pumba leaves, the bubbles stop. It's all harmless fun, good for kids and some adults. I think this movie will last for a while because it is rather good for a straight to Video and DVD movie. While the movie does seem a little odd and kind of trails off toward the end, it works. 8 out of 10",False
positive,"I rated this film 7/10 which is an average of 8/10 for screenplay, direction and 1944 production values and 6/10 for acting.My acting rating in turn was calculated at 4/10 for all the screen characters except for that played by heroine Ella Raines as Carol Richman who was excellent at 8/10.Also I commend Thomas Gomez as Inspector Burgess whose character convinces that he personally does not think the guilty verdict on Scott Henderson (Alan Curtis) was just in view of his naive alibi.These two then form an alliance to prove Scott's alibi.<br /><br />I have this film on a ""Suevia Film Noir Cine Negro"" DVD in Spanish as ""La Dama Desconocida"" with the original soundtrack ""Ingles"" as an alternative language, since despite searching I could not find a wholly English version.I was however anxious to see another performance by Ella Raines after being impressed with her performance as a heroine in ""Impact"" playing a sole female garage proprietor.Here Ella performs another heroic role believing in the innocence of her engineer boss and refuses several suggestions that she should return to her home in Kansas (her boss's pet name for her) before solving the missing alibi.The fact that she is secretly in love with her boss is a little hard to believe since he formally just seemed to have had a formal business relationship with her.He had however designed children's homes and playgrounds so I suppose ""family man"" had lit up in Carol's brain.<br /><br />In the 1940s with ""the film code"" in operation, producers could only portray sex through metaphors and here it is done in the form of furious drumming played by Elisha Cooke jnr.Carol dolls herself up as a girl of easy virtue in an attempt to lure the drummer into giving her information about ""The Phantom Lady"" alibi.The other main character, Jack Marlow (an associate of Scott Henderson) is played by Franchot Tone whose performance I found too theatrical and wondered why Carol, for instance, did not notice him constantly and strangely admiring his hands.Here the screenplay should have been improved and provided more suspense as these theatrical moves telegraphed the plot far too early to the audience.",False
negative,"I think the Croc Hunter is a pretty cool guy! I know I wouldn't have the nerve to go even 5 feet away from a croc.<br /><br />But, everything in this movie is bad. Farting jokes, people getting eaten, and the skit about the President all make the movie one of the worst of all time.<br /><br />It's a really bad film that you have to stay away from. All the ""jokes"" are so juvenile that you will find yourself laughing because they are so stupid. The plot is so bad that you wonder if the screenwriter is 4 years old.<br /><br />I'm surprised the Croc Hunter did not beg the crocodile to eat him after he saw this.",False
positive,"I usually steer clear of TV movies because of the many ways you know that it's TV movies five seconds into the picture. This one got my attention because of the unusual title and its gloomy, well-crafted mood that is established from the very start. While the ever present rain confirmed my suspicions of a misplaced story (even if claiming to be set in California the movie was largely shot around a stormy Vancouver, B.C.), the dark and oppressive outdoors beautifully complement Olmos' excellent acting.",False
positive,"This is a romantic comedy with the emphasis on comedy for a change. As usual the lovers--Sally Field as almost-over-the-hill soap opera queen, Celeste Talbert; and Kevin Kline as marginally employed and marginally talented actor, Jeffrey Anderson--are working at cross purposes, seemingly unaware that they are madly in love, etc. Owing a little to Bette Davis's Margo Channing in All About Eve (1950) and a whole lot to the slapstick theatrical tradition, Sally Field goes over the top towards hilarity as she malaprops her way to love and happiness. Kevin Kline, one of the more underrated leading men of recent years, is also very good and very winning as he manages to be handsome, vulnerable, egotistical and lovable all at the same time.<br /><br />The misadventures center around Celeste's fear of losing her audience as she has entered her forties, and reach the crisis point with the arrival of her niece, aspiring actress Cori Craven (Elisabeth Shue) who turns out NOT to be her niece, with ensuing plot complications. Cori manages to get a small part in the soap opera as a homeless deaf mute before discovering her true relationship to Celeste (and to Jeffrey Anderson as well)--but never mind.<br /><br />As a romantic counterpoint or foil to the leads are Robert Downey Jr. (soap opera director, David Barnes) and Cathy Moriarty (Montana and Nurse Nan). David Barnes is oh so hot for her, but she cares only about one thing: getting rid of Celeste so that she might shine more brightly on the set. To this end she gets Barnes to do all sorts of things to wreck Celeste's career, but through happenstance and/or a perverse logic, all his attempts go awry, much to the delight of the viewer.<br /><br />Whoopie Goldberg plays Rose Schwartz, the show's chief writer and Celeste's alter-ego and confidant while Carrie Fisher has a modest part as the hard-as-nails producer of the show.<br /><br />I thought this was funnier than the only other spoof of the soap opera world that I have seen (Young Doctors in Love 1982 which burlesqued TV's General Hospital and was pretty good). Soapdish is funnier with a daffy script and plenty of laugh-out-loud one-liners and terrific performances by Field, Kline and Downy, Jr. But see this for Sally Field who is outstanding.",False
negative,"this is just usual Indian garbage that gets turned out as cinema, as Indians we can proudly boast that we have the biggest cinema industry, however it also the worst.<br /><br />how can other poor countries have films with real characters that challenge the views of their respective societies and we just keep on pumping out garbage. take a look at Russia, Iran, china and Latin America, look at the brilliant films they have and we get crap like Kisna!!<br /><br />get real people, no wonder the international community in general laughs at Indian cinema.",False
